SEQ,X,Y,Z
212,-0.13,0.13,0.96
213,-0.13,0.13,0.96
214,-0.13,0.13,0.96
215,-0.13,0.13,0.96
216,-0.13,0.13,0.96
217,-0.13,0.13,0.96
218,-0.13,0.13,0.96
219,-0.13,0.13,0.96
220,-0.13,0.13,0.96
221,-0.13,0.13,0.96
222,-0.13,0.14,0.96
223,-0.13,0.14,0.96
224,-0.13,0.14,0.96
225,-0.13,0.14,0.96
226,-0.13,0.14,0.96
227,-0.13,0.14,0.96
228,-0.13,0.14,0.96
229,-0.13,0.14,0.96
230,-0.13,0.14,0.96
231,-0.13,0.14,0.96
232,-0.13,0.14,0.96
233,-0.13,0.14,0.96
234,-0.12,0.13,0.97
235,-0.12,0.13,0.97
236,-0.12,0.13,0.97
237,-0.12,0.13,0.97
238,-0.12,0.13,0.97
239,-0.12,0.13,0.97
240,-0.12,0.13,0.97
241,-0.12,0.13,0.97
242,-0.12,0.13,0.97
243,-0.12,0.13,0.97
244,-0.12,0.13,0.97
245,-0.12,0.13,0.97
246,-0.11,0.13,0.98
247,-0.11,0.13,0.98
248,-0.11,0.13,0.98
249,-0.11,0.13,0.98
250,-0.12,0.17,0.96
251,-0.12,0.17,0.96
252,-0.12,0.17,0.96
253,-0.12,0.17,0.96
254,-0.12,0.17,0.96
255,-0.12,0.17,0.96
256,-0.12,0.17,0.96
257,-0.12,0.17,0.96
258,-0.12,0.17,0.96
259,-0.12,0.17,0.96
260,-0.12,0.17,0.96
261,-0.12,0.19,0.96
262,-0.13,0.19,0.96
263,-0.13,0.19,0.96
264,-0.13,0.19,0.96
265,-0.13,0.19,0.96
266,-0.13,0.19,0.96
267,-0.13,0.19,0.96
268,-0.13,0.19,0.96
269,-0.13,0.19,0.96
270,-0.13,0.19,0.96
271,-0.13,0.19,0.96
272,-0.13,0.19,0.96
273,-0.13,0.21,0.98
274,-0.11,0.21,0.98
275,-0.11,0.21,0.98
276,-0.11,0.21,0.98
277,-0.11,0.21,0.98
278,-0.11,0.21,0.98
279,-0.11,0.21,0.98
280,-0.11,0.21,0.98
281,-0.11,0.21,0.98
282,-0.11,0.21,0.98
283,-0.11,0.21,0.98
284,-0.11,0.21,0.98
285,-0.11,0.21,0.98
286,-0.1,0.2,1
287,-0.1,0.2,1
288,-0.1,0.2,1
289,-0.1,0.2,1
290,-0.1,0.2,1
291,-0.1,0.2,1
292,-0.1,0.2,1
293,-0.1,0.2,1
294,-0.1,0.2,1
295,-0.1,0.2,1
296,-0.1,0.2,1
297,-0.1,0.2,0.99
298,-0.09,0.2,0.99
299,-0.09,0.2,0.99
300,-0.06,0.19,0.68
301,-0.15,0.31,0.68
302,-0.15,0.31,0.68
303,-0.15,0.31,0.68
304,-0.15,0.31,0.68
305,-0.15,0.31,0.68
306,-0.15,0.31,0.68
307,-0.15,0.31,0.68
308,-0.15,0.31,0.68
309,-0.15,0.31,0.68
310,-0.15,0.31,0.68
311,-0.15,0.31,0.68
312,-0.15,-0.16,0.06
313,-0.28,-0.16,0.06
314,-0.28,-0.16,0.06
315,-0.28,-0.16,0.06
316,-0.28,-0.16,0.06
317,-0.28,-0.16,0.06
318,-0.28,-0.16,0.06
319,-0.28,-0.16,0.06
320,-0.28,-0.16,0.06
321,-0.28,-0.16,0.06
322,-0.28,-0.16,0.06
323,-0.28,-0.16,0.06
324,-0.28,0.86,-0.02
325,0.45,0.86,-0.02
326,0.45,0.86,-0.02
327,0.45,0.86,-0.02
328,0.45,0.86,-0.02
329,0.45,0.86,-0.02
330,0.45,0.86,-0.02
331,0.45,0.86,-0.02
332,0.45,0.86,-0.02
333,0.45,0.86,-0.02
334,0.45,0.86,-0.02
335,0.45,0.86,-0.02
336,0.45,0.86,-0.02
337,0.2,-0.39,-0.02
338,0.2,-0.39,-0.02
339,0.2,-0.39,-0.02
340,0.2,-0.39,-0.02
341,0.2,-0.39,-0.02
342,0.2,-0.39,-0.02
343,0.2,-0.39,-0.02
344,0.2,-0.39,-0.02
345,0.2,-0.39,-0.02
346,0.2,-0.39,-0.02
347,0.2,-0.39,-0.02
348,0.2,-0.39,-0.83
349,0.13,-0.7,-0.83
350,-0.49,0.29,0.04
351,-0.49,0.34,0.45
352,-0.36,0.34,0.45
353,-0.36,0.34,0.45
354,-0.36,0.34,0.45
355,-0.36,0.34,0.45
356,-0.36,0.34,0.45
357,-0.36,0.34,0.45
358,-0.36,0.34,0.45
359,-0.36,0.34,0.45
360,-0.36,0.34,0.45
361,-0.36,0.34,0.45
362,-0.36,0.34,0.45
363,-0.36,0.17,0.72
364,-0.15,0.17,0.72
365,-0.15,0.17,0.72
366,-0.15,0.17,0.72
367,-0.15,0.17,0.72
368,-0.15,0.17,0.72
369,-0.15,0.17,0.72
370,-0.15,0.17,0.72
371,-0.15,0.17,0.72
372,-0.15,0.17,0.72
373,-0.15,0.17,0.72
374,-0.15,0.17,0.72
375,0.13,0.05,1.09
376,0.13,0.05,1.09
377,0.13,0.05,1.09
378,0.13,0.05,1.09
379,0.13,0.05,1.09
380,0.13,0.05,1.09
381,0.13,0.05,1.09
382,0.13,0.05,1.09
383,0.13,0.05,1.09
384,0.13,0.05,1.09
385,0.13,0.05,1.09
