SEQ,X,Y,Z
202,-0.05,-0.13,0.98
203,-0.05,-0.13,0.98
204,-0.05,-0.13,0.98
205,-0.05,-0.13,1
206,-0.06,-0.13,1
207,-0.06,-0.13,1
208,-0.06,-0.13,1
209,-0.06,-0.13,1
210,-0.06,-0.13,1
211,-0.06,-0.13,1
212,-0.06,-0.13,1
213,-0.06,-0.13,1
214,-0.06,-0.13,1
215,-0.06,-0.13,1
216,-0.06,-0.13,1
217,-0.06,-0.13,0.99
218,-0.04,-0.12,0.99
219,-0.04,-0.12,0.99
220,-0.04,-0.12,0.99
221,-0.04,-0.12,0.99
222,-0.04,-0.12,0.99
223,-0.04,-0.12,0.99
224,-0.04,-0.12,0.99
225,-0.04,-0.12,0.99
226,-0.04,-0.12,0.99
227,-0.04,-0.12,0.99
228,-0.04,-0.12,0.99
229,-0.04,-0.12,0.99
230,-0.04,-0.11,0.97
231,-0.04,-0.11,0.97
232,-0.04,-0.11,0.97
233,-0.04,-0.11,0.97
234,-0.04,-0.11,0.97
235,-0.04,-0.11,0.97
236,-0.04,-0.11,0.97
237,-0.04,-0.11,0.97
238,-0.04,-0.11,0.97
239,-0.04,-0.11,0.97
240,-0.04,-0.11,0.97
241,-0.04,-0.11,0.97
242,-0.05,-0.11,0.98
243,-0.05,-0.11,0.98
244,-0.05,-0.11,0.98
245,-0.05,-0.11,0.98
246,-0.05,-0.11,0.98
247,-0.05,-0.11,0.98
248,-0.05,-0.11,0.98
249,-0.05,-0.11,0.98
250,-0.05,-0.12,0.97
251,-0.05,-0.12,0.97
252,-0.05,-0.12,0.97
253,-0.05,-0.12,0.97
254,-0.05,-0.12,0.97
255,-0.05,-0.12,0.97
256,-0.05,-0.12,0.97
257,-0.05,-0.12,0.97
258,-0.06,-0.12,0.97
259,-0.06,-0.12,0.97
260,-0.06,-0.12,0.97
261,-0.06,-0.12,0.97
262,-0.06,-0.12,0.97
263,-0.06,-0.12,0.97
264,-0.06,-0.12,0.97
265,-0.06,-0.12,0.97
266,-0.06,-0.12,0.97
267,-0.06,-0.12,0.97
268,-0.06,-0.12,0.97
269,-0.06,-0.12,0.99
270,-0.06,-0.12,0.99
271,-0.06,-0.12,0.99
272,-0.06,-0.12,0.99
273,-0.06,-0.12,0.99
274,-0.06,-0.12,0.99
275,-0.06,-0.12,0.99
276,-0.06,-0.12,0.99
277,-0.06,-0.12,0.99
278,-0.06,-0.12,0.99
279,-0.06,-0.12,0.99
280,-0.06,-0.12,0.99
281,-0.06,-0.12,0.97
282,-0.06,-0.13,0.97
283,-0.06,-0.13,0.97
284,-0.06,-0.13,0.97
285,-0.06,-0.13,0.97
286,-0.06,-0.13,0.97
287,-0.06,-0.13,0.97
288,-0.06,-0.13,0.97
289,-0.06,-0.13,0.97
290,-0.06,-0.13,0.97
291,-0.06,-0.13,0.97
292,-0.06,-0.13,0.97
293,-0.06,-0.13,0.96
294,-0.05,-0.13,0.96
295,-0.05,-0.13,0.96
296,-0.05,-0.13,0.96
297,-0.05,-0.13,0.96
298,-0.05,-0.13,0.96
299,-0.05,-0.13,0.96
300,-0.03,-0.13,0.74
301,-0.03,-0.13,0.74
302,-0.03,-0.13,0.74
303,-0.03,-0.13,0.74
304,-0.03,-0.13,0.74
305,-0.03,-0.11,0.51
306,-0,-0.11,0.51
307,-0,-0.11,0.51
308,-0,-0.11,0.51
309,-0,-0.11,0.51
310,-0,-0.11,0.51
311,-0,-0.11,0.51
312,-0,-0.11,0.51
313,-0,-0.11,0.51
314,-0,-0.11,0.51
315,-0,-0.11,0.51
316,-0,-0.11,0.51
317,-0,-0.08,0.2
318,0.03,-0.08,0.2
319,0.03,-0.08,0.2
320,0.03,-0.08,0.2
321,0.03,-0.08,0.2
322,0.03,-0.08,0.2
323,0.03,-0.08,0.2
324,0.03,-0.08,0.2
325,0.03,-0.08,0.2
326,0.03,-0.08,0.2
327,0.03,-0.08,0.2
328,0.03,-0.08,0.2
329,0.03,-0,-0.12
330,0.03,-0,-0.12
331,0.03,-0,-0.12
332,0.03,-0,-0.12
333,0.03,-0,-0.12
334,0.03,-0,-0.12
335,0.03,-0,-0.12
336,0.03,-0,-0.12
337,0.03,-0,-0.12
338,0.03,-0,-0.12
339,0.03,-0,-0.12
340,0.03,-0,-0.12
341,0.03,-0,-0.47
342,0.06,0.12,-0.47
343,0.06,0.12,-0.47
344,0.06,0.12,-0.47
345,0.06,0.12,-0.47
346,0.06,0.12,-0.47
347,0.06,0.12,-0.47
348,0.06,0.12,-0.47
349,0.06,0.12,-0.47
350,-0.7,-0.14,-0.31
351,-0.7,-0.14,-0.31
352,-0.7,-0.14,-0.31
353,-0.7,-0.14,-0.31
354,-0.7,-0.32,0.45
355,-0.57,-0.32,0.45
356,-0.57,-0.32,0.45
357,-0.57,-0.32,0.45
358,-0.57,-0.32,0.45
359,-0.57,-0.32,0.45
360,-0.57,-0.32,0.45
361,-0.57,-0.32,0.45
362,-0.57,-0.32,0.45
363,-0.57,-0.32,0.45
364,-0.57,-0.32,0.45
365,-0.57,-0.32,0.45
366,-0.57,-0.41,1.17
367,-0.53,-0.41,1.17
368,-0.53,-0.41,1.17
369,-0.53,-0.41,1.17
370,-0.53,-0.41,1.17
371,-0.53,-0.41,1.17
372,-0.53,-0.41,1.17
373,-0.53,-0.41,1.17
374,-0.53,-0.41,1.17
375,-0.53,-0.41,1.17
376,-0.53,-0.41,1.17
377,-0.53,-0.41,1.17
378,-0.53,-0.59,1.6
379,-0.48,-0.59,1.6
380,-0.48,-0.59,1.6
381,-0.48,-0.59,1.6
382,-0.48,-0.59,1.6
383,-0.48,-0.59,1.6
384,-0.48,-0.59,1.6
385,-0.48,-0.59,1.6
386,-0.48,-0.59,1.6
387,-0.48,-0.59,1.6
388,-0.48,-0.59,1.6
389,-0.48,-0.59,1.6
390,-0.48,-0.59,1.82
391,-0.39,-0.69,1.82
392,-0.39,-0.69,1.82
393,-0.39,-0.69,1.82
394,-0.39,-0.69,1.82
395,-0.39,-0.69,1.82
396,-0.39,-0.69,1.82
397,-0.39,-0.69,1.82
398,-0.39,-0.69,1.82
399,-0.39,-0.69,1.82
400,0.04,-0.46,1.98
401,0.04,-0.46,1.98
402,0.04,-0.46,1.98
403,0.04,-0.46,1.98
404,0.04,-0.46,1.98
405,0.04,-0.46,1.98
406,0.04,-0.46,1.98
407,0.04,-0.36,1.76
408,0.06,-0.36,1.76
409,0.06,-0.36,1.76
410,0.06,-0.36,1.76
411,0.06,-0.36,1.76
412,0.06,-0.36,1.76
413,0.06,-0.36,1.76
414,0.06,-0.36,1.76
415,0.06,-0.36,1.76
416,0.06,-0.36,1.76
417,0.06,-0.36,1.76
418,0.06,-0.36,1.76
419,0.06,-0.29,1.41
420,0.01,-0.29,1.41
421,0.01,-0.29,1.41
422,0.01,-0.29,1.41
423,0.01,-0.29,1.41
424,0.01,-0.29,1.41
425,0.01,-0.29,1.41
426,0.01,-0.29,1.41
427,0.01,-0.29,1.41
428,0.01,-0.29,1.41
429,0.01,-0.29,1.41
430,0.01,-0.29,1.41
