SEQ,X,Y,Z
223,0.03,-0.01,0.99
224,0.03,-0.01,0.99
225,0.03,-0.01,0.99
226,0.03,-0.01,0.99
227,0.05,-0.01,0.99
228,0.05,-0.01,0.99
229,0.05,-0.01,0.99
230,0.05,-0.01,0.99
231,0.05,-0.01,0.99
232,0.05,-0.01,0.99
233,0.05,-0.01,0.99
234,0.05,-0.01,0.99
235,0.05,-0.01,0.99
236,0.05,-0.01,0.99
237,0.05,-0.01,0.99
238,0.05,-0.01,0.99
239,0.05,-0.01,0.97
240,0.06,-0.01,0.97
241,0.06,-0.01,0.97
242,0.06,-0.01,0.97
243,0.06,-0.01,0.97
244,0.06,-0.01,0.97
245,0.06,-0.01,0.97
246,0.06,-0.01,0.97
247,0.06,-0.01,0.97
248,0.06,-0.01,0.97
249,0.06,-0.01,0.97
250,0.02,-0.01,0.99
251,0.02,-0.01,0.99
252,0.02,-0.01,0.99
253,0.02,-0.01,0.99
254,0.02,-0.01,0.99
255,0.02,-0.01,0.99
256,0.02,-0.02,0.96
257,0.03,-0.02,0.96
258,0.03,-0.02,0.96
259,0.03,-0.02,0.96
260,0.03,-0.02,0.96
261,0.03,-0.02,0.96
262,0.03,-0.02,0.96
263,0.03,-0.02,0.96
264,0.03,-0.02,0.96
265,0.03,-0.02,0.96
266,0.03,-0.02,0.96
267,0.03,-0.02,0.96
268,0.04,-0.02,0.99
269,0.04,-0.02,0.99
270,0.04,-0.02,0.99
271,0.04,-0.02,0.99
272,0.04,-0.02,0.99
273,0.04,-0.02,0.99
274,0.04,-0.02,0.99
275,0.04,-0.02,0.99
276,0.04,-0.02,0.99
277,0.04,-0.02,0.99
278,0.04,-0.02,0.99
279,0.04,-0.02,0.99
280,0,-0.01,0.98
281,0.01,-0.01,0.98
282,0.01,-0.01,0.98
283,0.01,-0.01,0.98
284,0.01,-0.01,0.98
285,0.01,-0.01,0.98
286,0.01,-0.01,0.98
287,0.01,-0.01,0.98
288,0.01,-0.01,0.98
289,0.01,-0.01,0.98
290,0.01,-0.01,0.98
291,0.01,-0.01,0.98
292,0.01,-0.01,0.97
293,0.02,-0.01,0.97
294,0.02,-0.01,0.97
295,0.02,-0.01,0.97
296,0.02,-0.01,0.97
297,0.02,-0.01,0.97
298,0.02,-0.01,0.97
299,0.02,-0.01,0.97
300,0.02,-0.02,0.99
301,0.02,-0.02,0.99
302,0.02,-0.02,0.99
303,0.02,-0.02,0.99
304,0.02,-0.02,0.99
305,0.03,-0.02,0.99
306,0.03,-0.02,0.99
307,0.03,-0.02,0.99
308,0.03,-0.02,0.99
309,0.03,-0.02,0.99
310,0.03,-0.02,0.99
311,0.03,-0.02,0.99
312,0.03,-0.02,0.99
313,0.03,-0.02,0.99
314,0.03,-0.02,0.99
315,0.03,-0.02,0.99
316,0.03,-0.02,0.99
317,0.03,-0.02,1.01
318,0.03,-0.02,1.01
319,0.03,-0.02,1.01
320,0.03,-0.02,1.01
321,0.03,-0.02,1.01
322,0.03,-0.02,1.01
323,0.03,-0.02,1.01
324,0.03,-0.02,1.01
325,0.03,-0.02,1.01
326,0.03,-0.02,1.01
327,0.03,-0.02,1.01
328,0.03,-0.02,1.01
329,0.02,-0.01,1
330,0.03,-0.01,1
331,0.03,-0.01,1
332,0.03,-0.01,1
333,0.03,-0.01,1
334,0.03,-0.01,1
335,0.03,-0.01,1
336,0.03,-0.01,1
337,0.03,-0.01,1
338,0.03,-0.01,1
339,0.03,-0.01,1
340,0.03,-0.01,1
341,0.03,-0.01,1.02
342,0.05,-0.01,1.02
343,0.05,-0.01,1.02
344,0.05,-0.01,1.02
345,0.05,-0.01,1.02
346,0.05,-0.01,1.02
347,0.05,-0.01,1.02
348,0.05,-0.01,1.02
349,0.05,-0.01,1.02
350,0.03,-0.27,0.99
351,0.03,-0.27,0.99
