SEQ,X,Y,Z
212,-0.02,-0.02,1.02
213,-0.02,-0.02,1.02
214,-0.02,-0.02,1.02
215,-0.02,-0.02,1.02
216,-0.02,-0.02,1.02
217,-0.02,-0.02,1.02
218,-0.02,-0.02,1.02
219,-0.02,-0.02,1.02
220,-0,-0.02,1.02
221,-0,-0.02,1.02
222,-0,-0.02,1.02
223,-0,-0.02,1.02
224,-0,-0.02,1.02
225,-0,-0.02,1.02
226,-0,-0.02,1.02
227,-0,-0.02,1.02
228,-0,-0.02,1.02
229,-0,-0.02,1.02
230,-0,-0.02,1.02
231,-0,-0.02,1.02
232,-0,-0.01,1
233,-0.01,-0.01,1
234,-0.01,-0.01,1
235,-0.01,-0.01,1
236,-0.01,-0.01,1
237,-0.01,-0.01,1
238,-0.01,-0.01,1
239,-0.01,-0.01,1
240,-0.01,-0.01,1
241,-0.01,-0.01,1
242,-0.01,-0.01,1
243,-0.01,-0.01,1
244,-0.01,0.01,0.99
245,-0.01,0.01,0.99
246,-0.01,0.01,0.99
247,-0.01,0.01,0.99
248,-0.01,0.01,0.99
249,-0.01,0.01,0.99
250,0.01,0.02,1.02
251,0.01,0.02,1.02
252,0.01,0.02,1.02
253,0.01,0.02,1.02
254,0.01,0.02,1.02
255,0.02,0.03,1.01
256,0.02,0.03,1.01
257,0.02,0.03,1.01
258,0.02,0.03,1.01
259,0.02,0.03,1.01
260,0.02,0.03,1.01
261,0.02,0.03,1.01
262,0.02,0.03,1.01
263,0.02,0.03,1.01
264,0.02,0.03,1.01
265,0.02,0.03,1.01
266,0.02,0.03,1.01
267,0.01,0.02,0.99
268,0.01,0.02,0.99
269,0.01,0.02,0.99
270,0.01,0.02,0.99
271,0.01,0.02,0.99
272,0.01,0.02,0.99
273,0.01,0.02,0.99
274,0.01,0.02,0.99
275,0.01,0.02,0.99
276,0.01,0.02,0.99
277,0.01,0.02,0.99
278,0.01,0.02,0.99
279,0,0.04,0.94
280,0,0.04,0.94
281,0,0.04,0.94
282,0,0.04,0.94
283,0,0.04,0.94
284,0,0.04,0.94
285,0,0.04,0.94
286,0,0.04,0.94
287,0,0.04,0.94
288,0,0.04,0.94
289,0,0.04,0.94
290,0,0.04,0.94
291,-0.01,0.06,0.97
292,-0.01,0.06,0.97
293,-0.01,0.06,0.97
294,-0.01,0.06,0.97
295,-0.01,0.06,0.97
296,-0.01,0.06,0.97
297,-0.01,0.06,0.97
298,-0.01,0.06,0.97
299,-0.01,0.06,0.97
300,-0.02,0.03,0.99
301,-0.02,0.03,0.99
302,-0.02,0.03,0.99
303,-0.02,0.03,0.99
304,-0.02,0.03,0.99
305,-0.02,0.03,0.99
306,-0.02,0.03,0.99
307,-0.02,0.03,0.99
308,-0.02,0.03,0.99
309,-0,0.02,1.05
310,-0.01,0.02,1.05
311,-0.01,0.02,1.05
312,-0.01,0.02,1.05
313,-0.01,0.02,1.05
314,-0.01,0.02,1.05
315,-0.01,0.02,1.05
316,-0.01,0.02,1.05
317,-0.01,0.02,1.05
318,-0.01,0.02,1.05
319,-0.01,0.02,1.05
320,-0.01,0.02,1.05
321,-0.01,0.02,1.01
322,0.01,0.02,1.01
323,0.01,0.02,1.01
324,0.01,0.02,1.01
325,0.01,0.02,1.01
326,0.01,0.02,1.01
327,0.01,0.02,1.01
328,0.01,0.02,1.01
329,0.01,0.02,1.01
330,0.01,0.02,1.01
331,0.01,0.02,1.01
332,0.01,0.02,1.01
333,0.01,0.02,1
334,-0.01,0.03,1
335,-0.01,0.03,1
336,-0.01,0.03,1
337,-0.01,0.03,1
338,-0.01,0.03,1
339,-0.01,0.03,1
340,-0.01,0.03,1
341,-0.01,0.03,1
342,-0.01,0.03,1
343,-0.01,0.03,1
344,-0.01,0.03,1
345,-0.01,0.03,1.02
346,-0.02,0.03,1.02
347,-0.02,0.03,1.02
348,-0.02,0.03,1.02
349,-0.02,0.03,1.02
350,-0.02,0.04,1
351,-0.02,0.04,1
352,-0.02,0.04,1
353,-0.02,0.04,1
354,-0.02,0.04,1
355,-0.02,0.04,1
356,-0.02,0.04,1
357,-0.02,0.03,1
358,-0.01,0.03,1
359,-0.01,0.03,1
360,-0.01,0.03,1
361,-0.01,0.03,1
362,-0.01,0.03,1
363,-0.01,0.03,1
364,-0.01,0.03,1
365,-0.01,0.03,1
366,-0.01,0.03,1
367,-0.01,0.03,1
368,-0.01,0.03,1
369,-0.01,0.03,1.01
370,-0.03,0.03,1.01
371,-0.03,0.03,1.01
372,-0.03,0.03,1.01
373,-0.03,0.03,1.01
374,-0.03,0.03,1.01
375,-0.03,0.03,1.01
376,-0.03,0.03,1.01
377,-0.03,0.03,1.01
378,-0.03,0.03,1.01
379,-0.03,0.03,1.01
380,-0.03,0.03,1.01
381,-0.03,0.03,1
382,-0.01,0.04,1
383,-0.01,0.04,1
384,-0.01,0.04,1
385,-0.01,0.04,1
386,-0.01,0.04,1
387,-0.01,0.04,1
388,-0.01,0.04,1
389,-0.01,0.04,1
390,-0.01,0.04,1
391,-0.01,0.04,1
392,-0.01,0.04,1
393,-0.01,0.04,1
394,-0.02,0.05,0.98
395,-0.02,0.05,0.98
396,-0.02,0.05,0.98
397,-0.02,0.05,0.98
398,-0.02,0.05,0.98
399,-0.02,0.05,0.98
400,-0.01,0.04,0.98
401,-0.01,0.04,0.98
402,-0.01,0.04,0.98
