NUM,SEQ,IR,RED,X,Y,Z
0,1,252208,184314,-0.188153,0.253206,0.924751
0,2,252411,184354,-0.186151,0.256208,0.925752
0,3,251778,184342,-0.188153,0.255207,0.919747
0,4,251077,184048,-0.187152,0.251204,0.929755
0,5,250770,183953,-0.190155,0.248202,0.926753
0,6,250681,183820,-0.191155,0.250203,0.926753
0,7,250617,183763,-0.18415,0.251204,0.924751
0,8,250619,183751,-0.183149,0.247201,0.930756
0,9,250738,183773,-0.183149,0.248202,0.929755
0,10,250913,183801,-0.188153,0.248202,0.926753
0,11,251056,183810,-0.187152,0.249202,0.929755
0,12,251259,183883,-0.179146,0.2462,0.927754
0,13,251210,184003,-0.190155,0.247201,0.923751
0,14,250212,183737,-0.18415,0.247201,0.928755
0,15,250033,183534,-0.18515,0.241196,0.931757
0,16,249940,183480,-0.182148,0.2462,0.927754
0,17,250052,183558,-0.186151,0.2462,0.928755
0,18,250258,183596,-0.18415,0.2462,0.928755
0,19,250667,183736,-0.192156,0.251204,0.927754
0,20,251118,183889,-0.196159,0.251204,0.924751
0,21,251467,184009,-0.195159,0.253206,0.923751
0,22,251909,184128,-0.19716,0.255207,0.919747
0,23,252299,184308,-0.200163,0.257209,0.916745
0,24,252361,184492,-0.200163,0.25821,0.919747
0,25,251880,184326,-0.198161,0.260211,0.921749
0,26,251986,184294,-0.203165,0.25821,0.917746
0,27,252201,184360,-0.206168,0.265215,0.918746
0,28,252335,184453,-0.202164,0.264215,0.909739
0,29,252485,184428,-0.199162,0.264215,0.916745
0,30,252670,184449,-0.200163,0.267217,0.911741
0,31,252927,184534,-0.19716,0.262213,0.920748
0,32,253074,184608,-0.198161,0.264215,0.927754
0,33,253208,184628,-0.193157,0.257209,0.92275
0,34,253387,184666,-0.200163,0.259211,0.916745
0,35,252885,184689,-0.193157,0.260211,0.916745
0,36,252614,184468,-0.195159,0.257209,0.938763
0,37,252452,184403,-0.192156,0.253206,0.915744
0,38,252618,184370,-0.187152,0.249202,0.917746
0,39,252631,184417,-0.190155,0.253206,0.930756
0,40,252664,184315,-0.189154,0.252205,0.932758
0,41,252820,184370,-0.187152,0.250203,0.929755
0,42,252909,184384,-0.188153,0.2462,0.931757
0,43,253088,184442,-0.187152,0.249202,0.928755
0,44,253281,184484,-0.188153,0.248202,0.929755
0,45,253426,184499,-0.183149,0.248202,0.920748
0,46,253210,184503,-0.18415,0.2462,0.92275
0,47,252705,184292,-0.188153,0.249202,0.931757
0,48,252525,184255,-0.188153,0.2462,0.927754
0,49,252539,184217,-0.182148,0.248202,0.930756
0,50,252559,184192,-0.183149,0.247201,0.929755
0,51,252621,184199,-0.180146,0.249202,0.929755
0,52,252740,184209,-0.18515,0.243198,0.932758
0,53,252911,184243,-0.183149,0.247201,0.929755
0,54,253055,184300,-0.18515,0.247201,0.923751
0,55,253334,184403,-0.18515,0.248202,0.924751
0,56,253542,184469,-0.194158,0.2462,0.931757
0,57,253764,184513,-0.195159,0.252205,0.918746
0,58,253194,184508,-0.190155,0.253206,0.919747
0,59,253157,184442,-0.195159,0.255207,0.932758
0,60,253131,184432,-0.194158,0.253206,0.92275
0,61,253278,184463,-0.19716,0.256208,0.92275
0,62,253345,184459,-0.19716,0.260211,0.923751
0,63,253533,184499,-0.19716,0.257209,0.919747
0,64,253760,184631,-0.19716,0.261212,0.917746
0,65,253913,184673,-0.196159,0.25821,0.915744
0,66,254079,184719,-0.195159,0.261212,0.918746
0,67,254298,184788,-0.199162,0.262213,0.928755
0,68,254397,184827,-0.201163,0.260211,0.92275
0,69,253940,184794,-0.196159,0.259211,0.92275
0,70,253524,184575,-0.196159,0.255207,0.925752
0,71,253408,184545,-0.193157,0.252205,0.923751
0,72,253425,184518,-0.193157,0.256208,0.920748
0,73,253370,184480,-0.191155,0.251204,0.928755
0,74,253362,184440,-0.186151,0.249202,0.931757
0,75,253546,184435,-0.190155,0.249202,0.926753
0,76,253629,184456,-0.189154,0.251204,0.923751
0,77,253707,184483,-0.187152,0.250203,0.928755
0,78,253861,184478,-0.187152,0.245199,0.929755
0,79,253978,184564,-0.18415,0.2462,0.924751
0,80,253686,184561,-0.191155,0.2462,0.925752
0,81,252994,184329,-0.18515,0.243198,0.929755
0,82,252863,184198,-0.182148,0.244198,0.929755
0,83,252807,184138,-0.18415,0.247201,0.925752
0,84,252796,184156,-0.183149,0.245199,0.927754
0,85,252746,184089,-0.179146,0.244198,0.926753
0,86,252921,184070,-0.182148,0.240195,0.93576
0,87,252951,184146,-0.186151,0.245199,0.930756
0,88,253125,184160,-0.18515,0.243198,0.938763
0,89,253302,184202,-0.18515,0.243198,0.928755
0,90,253577,184293,-0.186151,0.244198,0.927754
0,91,253647,184409,-0.19716,0.249202,0.925752
0,92,252901,184307,-0.190155,0.247201,0.925752
0,93,252830,184169,-0.195159,0.2462,0.930756
0,94,252831,184159,-0.195159,0.251204,0.925752
0,95,252998,184245,-0.196159,0.254207,0.921749
0,96,253120,184267,-0.19716,0.254207,0.923751
0,97,253283,184330,-0.198161,0.255207,0.920748
0,98,253526,184378,-0.19716,0.255207,0.919747
