NUM,SEQ,IR,RED,X,Y,Z
1,27113,122056,91739,-0.2,-0.55,0.81
1,27114,122159,91779,-0.2,-0.55,0.81
1,27115,122153,91732,-0.2,-0.54,0.81
1,27116,122194,91749,-0.2,-0.55,0.81
1,27117,122184,91777,-0.2,-0.54,0.81
1,27118,122203,91790,-0.19,-0.54,0.81
1,27119,122343,91775,-0.2,-0.55,0.81
1,27120,122399,91827,-0.2,-0.54,0.8
1,27121,122457,91850,-0.2,-0.55,0.8
1,27122,122573,91855,-0.2,-0.55,0.8
1,27123,122645,91911,-0.2,-0.54,0.81
1,27124,122753,91933,-0.2,-0.54,0.81
1,27125,122816,91956,-0.19,-0.54,0.81
1,27126,122930,91961,-0.2,-0.54,0.81
1,27127,122986,92044,-0.2,-0.54,0.8
1,27128,123138,92010,-0.19,-0.55,0.8
1,27129,123200,92096,-0.2,-0.54,0.81
1,27130,123330,92013,-0.2,-0.54,0.8
1,27131,122470,91751,-0.2,-0.55,0.81
1,27132,122027,91665,-0.2,-0.55,0.81
1,27133,121974,91729,-0.2,-0.54,0.81
1,27134,122090,91738,-0.2,-0.54,0.81
1,27135,122075,91711,-0.2,-0.54,0.81
1,27136,122034,91745,-0.2,-0.54,0.8
1,27137,122123,91781,-0.2,-0.54,0.81
1,27138,122217,91777,-0.2,-0.54,0.81
1,27139,122229,91832,-0.2,-0.54,0.81
1,27140,122306,91793,-0.2,-0.53,0.8
1,27141,122356,91831,-0.2,-0.54,0.8
1,27142,122406,91850,-0.2,-0.54,0.81
1,27143,122506,91904,-0.2,-0.55,0.81
1,27144,122637,91956,-0.2,-0.54,0.81
1,27145,122740,91945,-0.2,-0.53,0.81
1,27146,122840,91953,-0.2,-0.54,0.81
1,27147,122868,92021,-0.21,-0.54,0.81
1,27148,123024,92004,-0.21,-0.54,0.81
1,27149,123078,92084,-0.2,-0.54,0.81
1,27150,123555,92208,-0.2,-0.55,0.81
1,27151,123712,92206,-0.21,-0.54,0.81
1,27152,123078,91844,-0.21,-0.54,0.81
1,27153,122228,91744,-0.2,-0.54,0.81
1,27154,122123,91796,-0.2,-0.54,0.81
1,27155,122238,91752,-0.2,-0.54,0.81
1,27156,122175,91791,-0.2,-0.54,0.81
1,27157,122186,91788,-0.2,-0.54,0.81
