IR,RED,X,Y,Z,HR,RR,SP02,ERROR_RATE
262143,195445,0.0280228,-0.0410333,0.989804,83.3333333333333,20.8333333333333,94.845,0.351111111111109
261933,194957,0.0290236,-0.0400325,0.982799,83.3333333333333,20.8333333333333,94.845,0.351111111111109
262143,195045,0.0250203,-0.0410333,0.986802,93.75,20.8333333333333,94.845,0.351111111111109
262143,195150,0.0250203,-0.043035,0.979796,93.75,20.8333333333333,94.845,0.351111111111109
262143,195150,0.0250203,-0.0410333,0.986802,93.75,20.8333333333333,94.845,0.351111111111109
262143,195182,0.0240195,-0.043035,0.986802,93.75,20.8333333333333,94.845,0.351111111111109
262143,195400,0.0250203,-0.043035,0.985801,93.75,20.8333333333333,94.845,0.351111111111109
262143,195508,0.0240195,-0.0450366,0.9848,93.75,20.8333333333333,94.845,0.351111111111109
262143,195591,0.0250203,-0.0470382,0.981798,93.75,20.8333333333333,94.845,0.351111111111109
262143,195638,0.0280228,-0.0460374,0.985801,93.75,20.8333333333333,94.845,0.351111111111109
262077,195247,0.0260211,-0.0440358,0.985801,83.3333333333333,20.8333333333333,94.845,0.351111111111109
262143,195153,0.0290236,-0.0450366,0.987803,83.3333333333333,20.8333333333333,94.845,0.351111111111109
262143,195309,0.0260211,-0.0450366,0.9848,83.3333333333333,20.8333333333333,94.845,0.351111111111109
262143,195378,0.0300244,-0.043035,0.985801,83.3333333333333,20.8333333333333,94.845,0.351111111111109
262143,195360,0.0280228,-0.0450366,0.985801,83.3333333333333,20.8333333333333,94.845,0.351111111111109
262143,195552,0.0280228,-0.0420342,0.987803,83.3333333333333,20.8333333333333,94.845,0.351111111111109
262143,195663,0.0250203,-0.0460374,0.985801,83.3333333333333,20.8333333333333,94.845,0.351111111111109
262143,195723,0.0230187,-0.0450366,0.9848,83.3333333333333,20.8333333333333,94.845,0.351111111111109
262143,195820,0.0260211,-0.0420342,0.983799,83.3333333333333,20.8333333333333,94.845,0.351111111111109
262143,195607,0.0290236,-0.0450366,0.983799,93.75,20.8333333333333,94.845,0.351111111111109
262143,195383,0.0260211,-0.0470382,0.988803,93.75,20.8333333333333,94.845,0.351111111111109
262143,195458,0.0280228,-0.0420342,0.985801,93.75,20.8333333333333,94.845,0.351111111111109
262143,195521,0.0250203,-0.0450366,0.986802,93.75,20.8333333333333,94.845,0.351111111111109
262143,195473,0.027022,-0.0450366,0.988803,93.75,20.8333333333333,94.845,0.351111111111109
262143,195586,0.0220179,-0.043035,0.985801,93.75,20.8333333333333,94.845,0.351111111111109
262143,195706,0.0250203,-0.043035,0.986802,93.75,20.8333333333333,94.845,0.351111111111109
262143,195746,0.0250203,-0.0460374,0.982799,93.75,20.8333333333333,94.845,0.351111111111109
262143,195795,0.0260211,-0.0410333,0.983799,150,20.8333333333333,94.845,0.351111111111109
262143,195816,0.027022,-0.0440358,0.988803,150,20.8333333333333,94.845,0.351111111111109
262143,195400,0.0230187,-0.0390317,0.985801,150,20.8333333333333,94.845,0.351111111111109
262143,195416,0.0250203,-0.0440358,0.983799,150,20.8333333333333,94.845,0.351111111111109
262143,195483,0.0260211,-0.0460374,0.983799,150,20.8333333333333,94.845,0.351111111111109
262143,195504,0.0220179,-0.0410333,0.990805,93.75,20.8333333333333,94.845,0.351111111111109
262143,195621,0.0240195,-0.0490398,0.986802,93.75,20.8333333333333,94.845,0.351111111111109
262143,195719,0.0260211,-0.0440358,0.988803,93.75,20.8333333333333,94.845,0.351111111111109
262143,195758,0.0300244,-0.0450366,0.988803,93.75,20.8333333333333,94.845,0.351111111111109
262143,195836,0.0240195,-0.0450366,0.988803,93.75,20.8333333333333,94.845,0.351111111111109
262143,195945,0.0250203,-0.0450366,0.988803,93.75,20.8333333333333,94.845,0.351111111111109
262143,195587,0.0290236,-0.0450366,0.982799,93.75,20.8333333333333,94.845,0.351111111111109
262143,195426,0.0250203,-0.0460374,0.982799,93.75,20.8333333333333,94.845,0.351111111111109
262143,195521,0.0260211,-0.0460374,0.982799,93.75,20.8333333333333,94.845,0.351111111111109
262143,195517,0.0280228,-0.0450366,0.983799,93.75,20.8333333333333,94.845,0.351111111111109
262143,195574,0.0250203,-0.0440358,0.985801,93.75,20.8333333333333,94.845,0.351111111111109
262143,195728,0.0220179,-0.043035,0.987803,93.75,20.8333333333333,94.845,0.351111111111109
262143,195824,0.0280228,-0.0440358,0.986802,93.75,20.8333333333333,94.845,0.351111111111109
262143,195853,0.0260211,-0.048039,0.989804,93.75,20.8333333333333,94.845,0.351111111111109
262143,195931,0.0280228,-0.0460374,0.983799,93.75,25.8620689655172,94.845,0.351111111111109
262143,195908,0.0230187,-0.0450366,0.989804,93.75,25.8620689655172,94.845,0.351111111111109
262143,195453,0.0250203,-0.0470382,0.982799,83.3333333333333,25.8620689655172,94.845,0.351111111111109
262143,195556,0.0250203,-0.0420342,0.982799,83.3333333333333,25.8620689655172,94.845,0.351111111111109
262143,195652,0.0250203,-0.0460374,0.9848,83.3333333333333,25.8620689655172,94.845,0.351111111111109
262143,195633,0.027022,-0.0460374,0.985801,83.3333333333333,25.8620689655172,94.845,0.351111111111109
262143,195655,0.027022,-0.0450366,0.990805,83.3333333333333,25.8620689655172,94.845,0.351111111111109
262143,195705,0.0280228,-0.0470382,0.983799,83.3333333333333,25.8620689655172,94.845,0.351111111111109
262143,195861,0.0260211,-0.0420342,0.988803,83.3333333333333,25.8620689655172,94.845,0.351111111111109
262143,195894,0.0280228,-0.048039,0.985801,83.3333333333333,25.8620689655172,94.845,0.351111111111109
262143,195977,0.0260211,-0.0410333,0.989804,83.3333333333333,25.8620689655172,94.845,0.351111111111109
262143,195618,0.0240195,-0.0380309,0.977794,125,25.8620689655172,94.845,0.351111111111109
262143,195588,0.0240195,-0.0470382,0.977794,125,25.8620689655172,94.845,0.351111111111109
262143,195732,0.032026,-0.0400325,0.987803,125,25.8620689655172,94.845,0.351111111111109
262143,195731,0.0220179,-0.0420342,0.988803,125,25.8620689655172,94.845,0.351111111111109
262143,195671,0.0340276,-0.0450366,0.985801,125,25.8620689655172,94.845,0.351111111111109
262143,195863,0.0250203,-0.0450366,0.986802,125,25.8620689655172,94.845,0.351111111111109
262143,195949,0.032026,-0.0440358,0.982799,107.142857142857,25.8620689655172,94.845,0.351111111111109
262143,196009,0.0260211,-0.0460374,0.980797,107.142857142857,25.8620689655172,94.845,0.351111111111109
262143,196064,0.0280228,-0.0440358,0.980797,107.142857142857,25.8620689655172,94.845,0.351111111111109
262143,195604,0.0230187,-0.0450366,0.991806,107.142857142857,25.8620689655172,94.845,0.351111111111109
262143,195467,0.0280228,-0.048039,0.980797,107.142857142857,25.8620689655172,94.845,0.351111111111109
262143,195587,0.0230187,-0.043035,0.981798,107.142857142857,25.8620689655172,94.845,0.351111111111109
262143,195609,0.0260211,-0.0420342,0.983799,107.142857142857,25.8620689655172,94.845,0.351111111111109
262143,195593,0.0220179,-0.048039,0.982799,93.75,25.8620689655172,94.845,0.351111111111109
262143,195734,0.0310252,-0.0440358,0.988803,93.75,25.8620689655172,94.845,0.351111111111109
262143,195890,0.0280228,-0.043035,0.981798,93.75,25.8620689655172,94.845,0.351111111111109
262143,195967,0.027022,-0.0420342,0.983799,93.75,25.8620689655172,94.845,0.351111111111109
262143,195957,0.0240195,-0.0410333,0.988803,93.75,25.8620689655172,94.845,0.351111111111109
262143,195533,0.0300244,-0.0460374,0.9848,93.75,26.7857142857143,94.845,0.351111111111109
262143,195548,0.0260211,-0.0510415,0.983799,93.75,26.7857142857143,94.845,0.351111111111109
262143,195585,0.027022,-0.0390317,0.9848,93.75,26.7857142857143,94.845,0.351111111111109
