time,IR,RED,HR,RR,SP02
0,232113,217148,68.1818181818182,11.8110236220472,98.2847005010514
0.02,232098,217113,68.1818181818182,11.8110236220472,98.2847005010514
0.04,232185,217115,68.1818181818182,11.8110236220472,98.2847005010514
0.06,232221,217176,68.1818181818182,11.8110236220472,98.2847005010514
0.08,232264,217163,68.1818181818182,11.8110236220472,98.2847005010514
0.1,232142,217100,68.1818181818182,11.8110236220472,98.2847005010514
0.12,231967,217129,68.1818181818182,11.8110236220472,98.2847005010514
0.14,231750,217054,68.1818181818182,11.8110236220472,98.2847005010514
0.16,231440,216911,68.1818181818182,11.8110236220472,98.2847005010514
0.18,231262,216887,68.1818181818182,11.8110236220472,98.2847005010514
0.2,231049,216798,68.1818181818182,11.8110236220472,98.2847005010514
0.22,230883,216691,68.1818181818182,11.8110236220472,98.2847005010514
0.24,230678,216688,68.1818181818182,11.8110236220472,98.2847005010514
0.26,230543,216706,68.1818181818182,11.8110236220472,98.2847005010514
0.28,230409,216550,68.1818181818182,11.8110236220472,98.2847005010514
0.3,230266,216551,68.1818181818182,11.8110236220472,98.2847005010514
0.32,230181,216593,68.1818181818182,11.8110236220472,98.2847005010514
0.34,230154,216528,68.1818181818182,11.8110236220472,98.2847005010514
0.36,230172,216620,68.1818181818182,11.8110236220472,98.2847005010514
0.38,230176,216554,68.1818181818182,11.8110236220472,98.2847005010514
0.4,230166,216644,68.1818181818182,11.8110236220472,98.2847005010514
0.42,230142,216569,68.1818181818182,11.8110236220472,98.2847005010514
0.44,230159,216667,68.1818181818182,11.8110236220472,98.2847005010514
0.46,230147,216575,68.1818181818182,11.8110236220472,98.2847005010514
0.48,230116,216681,68.1818181818182,11.8110236220472,98.2847005010514
0.5,230153,216580,68.1818181818182,11.8110236220472,98.2847005010514
0.52,230184,216748,68.1818181818182,11.8110236220472,98.2847005010514
0.54,230238,216583,68.1818181818182,11.8110236220472,98.2847005010514
0.56,230223,216733,68.1818181818182,11.8110236220472,98.2847005010514
0.58,230212,216619,68.1818181818182,11.8110236220472,98.2847005010514
0.6,230280,216704,68.1818181818182,11.8110236220472,98.2847005010514
0.62,230368,216598,68.1818181818182,11.8110236220472,98.2847005010514
0.64,230384,216727,68.1818181818182,11.8110236220472,98.2847005010514
0.66,230410,216769,68.1818181818182,11.8110236220472,98.2847005010514
0.68,230475,216705,68.1818181818182,11.8110236220472,98.2847005010514
0.7,230499,216852,68.1818181818182,11.8110236220472,98.2847005010514
0.72,230558,216758,68.1818181818182,11.8110236220472,98.2847005010514
0.74,230687,216781,68.1818181818182,11.8110236220472,98.2847005010514
0.76,230641,216941,68.1818181818182,11.8110236220472,98.2847005010514
0.78,230686,216772,68.1818181818182,11.8110236220472,98.2847005010514
0.8,230740,216864,68.1818181818182,11.8110236220472,98.2847005010514
0.82,230767,217015,68.1818181818182,11.8110236220472,98.2847005010514
