time,IR,RED
6.4,228188,216711
6.42,228226,216590
6.44,228216,216710
6.46,228237,216755
6.48,228464,216712
6.5,228387,216876
6.52,228435,216727
6.54,228466,216812
6.56,228540,216790
6.58,228629,216825
6.6,228636,216810
6.62,228869,216787
6.64,228826,216996
6.66,228913,216859
6.68,228934,216886
6.7,229007,216964
6.72,229018,216956
6.74,229122,216968
6.76,229210,216991
6.78,229226,216951
6.8,229338,217040
6.82,229437,217051
6.84,229482,217007
6.86,229526,217105
6.88,229605,217112
6.9,229617,217068
6.92,229737,217168
6.94,229815,217194
6.96,229899,217144
6.98,229905,217204
7,229986,217335
7.02,230006,217133
7.04,229828,217200
7.06,229659,217239
7.08,229492,217041
7.1,229248,217013
7.12,229156,217098
7.14,229046,216890
7.16,229033,216864
7.18,228808,216984
7.2,228733,216834
7.22,228781,216745
7.24,228627,216910
7.26,228734,216654
7.28,228691,216906
7.3,228833,216627
7.32,228768,216945
7.34,228869,216684
7.36,228776,216968
7.38,228896,216666
7.4,228806,216939
7.42,228943,216700
7.44,228877,216915
7.46,228910,216765
7.48,228913,216884
7.5,229023,216828
7.52,229046,216886
7.54,229099,216832
7.56,229112,216885
7.58,229216,216989
7.6,229224,216883
7.62,229322,216958
7.64,229356,216919
7.66,229418,216944
7.68,229489,217109
7.7,229542,216897
7.72,229592,216993
7.74,229655,217184
7.76,229731,216995
7.78,229752,217067
7.8,229839,217234
7.82,229933,217030
7.84,229891,217132
7.86,229998,217301
7.88,230078,217137
7.9,230243,217188
7.92,230209,217346
7.94,230295,217132
7.96,230239,217260
7.98,230356,217383
8,230332,217203
8.02,230099,217225
8.04,229983,217297
8.06,229812,217064
8.08,229599,217040
8.1,229515,217098
8.12,229358,216896
8.14,229274,216934
8.16,229207,216928
8.18,229058,216806
8.2,229023,216864
8.22,229002,216797
8.24,229031,216809
8.26,229067,216791
8.28,229087,216837
8.3,229114,216846
8.32,229099,216843
8.34,229114,216819
8.36,229106,216821
8.38,229122,216848
8.4,229089,216831
8.42,229215,216980
8.44,229262,216792
8.46,229258,216946
8.48,229294,216846
8.5,229303,216915
8.52,229396,216844
8.54,229421,216898
8.56,229485,216998
8.58,229565,216897
8.6,229553,217069
8.62,229601,216857
8.64,229653,216950
8.66,229683,217104
8.68,229763,216903
8.7,229754,216984
8.72,229827,217164
8.74,229910,216959
8.76,229901,217061
8.78,229981,217215
8.8,230058,217057
8.82,230209,217103
8.84,230112,217290
8.86,230199,217171
8.88,230357,217162
8.9,230251,217328
8.92,230365,217235
8.94,230475,217200
8.96,230277,217344
8.98,230110,217167
9,230023,217074
9.02,229716,217153
9.04,229583,216931
9.06,229521,216898
9.08,229310,216988
9.1,229199,216858
9.12,229206,216765
9.14,228950,216896
9.16,228923,216748
9.18,228902,216718
9.2,228894,216748
9.22,228931,216708
9.24,228938,216759
9.26,228946,216719
9.28,228938,216762
9.3,228904,216709
9.32,228907,216724
9.34,228943,216710
9.36,228901,216755
9.38,229083,216634
9.4,229004,216848
9.42,229006,216687
9.44,229046,216752
9.46,229145,216671
9.48,229150,216776
9.5,229186,216775
9.52,229318,216779
9.54,229253,216930
9.56,229307,216781
9.58,229292,216792
9.6,229373,216954
9.62,229451,216781
9.64,229432,216860
9.66,229506,217017
9.68,229566,216836
9.7,229746,216884
9.72,229643,217069
9.74,229714,216916
9.76,229870,216956
9.78,229769,217118
9.8,229834,216996
9.82,229948,216980
9.84,229938,217128
9.86,229954,217013
9.88,230081,217064
9.9,230042,217173
9.92,229987,217060
9.94,229952,216995
9.96,229598,217086
9.98,229437,216878
10,229318,216855
10.02,229108,216877
10.04,228896,216716
10.06,228830,216692
10.08,228689,216698
10.1,228550,216579
10.12,228523,216549
10.14,228377,216627
10.16,228424,216441
10.18,228392,216623
10.2,228496,216396
10.22,228414,216620
10.24,228474,216439
10.26,228395,216625
10.28,228423,216448
10.3,228375,216619
10.32,228382,216469
10.34,228354,216553
10.36,228477,216459
10.38,228475,216572
10.4,228504,216551
10.42,228535,216573
10.44,228578,216663
10.46,228711,216517
10.48,228654,216731
10.5,228758,216569
10.52,228757,216655
10.54,228833,216746
10.56,228845,216654
10.58,228855,216779
10.6,228902,216745
10.62,229034,216744
10.64,229045,216851
10.66,229106,216789
10.68,229244,216771
10.7,229173,216956
10.72,229275,216872
10.74,229422,216830
10.76,229371,216998
10.78,229415,216948
10.8,229530,216952
10.82,229565,217043
10.84,229546,216997
10.86,229684,217037
10.88,229733,217083
10.9,229709,217018
10.92,229732,217062
10.94,229615,217073
10.96,229433,216945
10.98,229174,216833
11,229040,216844
11.02,228911,216753
11.04,228717,216662
11.06,228604,216682
11.08,228515,216608
11.1,228343,216557
11.12,228311,216583
11.14,228283,216496
11.16,228337,216430
11.18,228320,216653
11.2,228439,216455
11.22,228382,216726
11.24,228453,216477
11.26,228390,216690
11.28,228467,216514
11.3,228419,216718
11.32,228513,216540
11.34,228459,216728
11.36,228454,216610
11.38,228547,216675
11.4,228619,216607
11.42,228648,216712
11.44,228666,216713
11.46,228697,216688
11.48,228805,216863
11.5,228825,216703
11.52,228919,216802
11.54,228939,216776
11.56,229006,216788
11.58,229032,216957
11.6,229101,216767
11.62,229095,216829
11.64,229180,216993
11.66,229275,216843
11.68,229293,216912
11.7,229349,217062
11.72,229432,216961
11.74,229623,216973
11.76,229513,217150
11.78,229595,217003
11.8,229749,217000
11.82,229670,217201
11.84,229793,217101
11.86,229953,217082
11.88,229855,217253
11.9,229973,217174
11.92,230060,217161
11.94,229967,217285
11.96,229745,217160
11.98,229616,217105
12,229414,217074
12.02,229152,216912
12.04,229085,216916
12.06,228926,216926
12.08,228750,216766
12.1,228696,216759
12.12,228553,216761
12.14,228377,216638
12.16,228397,216559
12.18,228373,216824
12.2,228446,216605
12.22,228465,216828
12.24,228513,216609
12.26,228474,216868
12.28,228534,216628
12.3,228552,216880
12.32,228591,216630
12.34,228624,216833
12.36,228643,216695
12.38,228653,216825
12.4,228737,216775
12.42,228775,216804
12.44,228806,216763
12.46,228816,216813
12.48,228912,216966
12.5,229011,216817
12.52,228963,216958
12.54,229061,216867
12.56,229215,216884
12.58,229131,217048
12.6,229205,216870
12.62,229242,216923
12.64,229304,217111
12.66,229377,216953
12.68,229383,217006
12.7,229463,217154
12.72,229549,216981
12.74,229718,217028
12.76,229613,217229
12.78,229699,217137
12.8,229885,217107
12.82,229813,217282
12.84,229908,217183
12.86,229956,217190
12.88,230006,217377
12.9,230085,217201
12.92,230188,217246
12.94,229955,217393
12.96,229811,217193
12.98,229613,217116
13,229402,217203
13.02,229219,217005
13.04,229177,216932
13.06,228895,217048
13.08,228805,216859
13.1,228771,216767
13.12,228573,216896
13.14,228545,216773
13.16,228542,216780
13.18,228589,216830
13.2,228629,216798
13.22,228636,216910
13.24,228663,216811
13.26,228688,216846
13.28,228676,216831
13.3,228679,216924
13.32,228695,216843
13.34,228752,216930
13.36,228845,216803
13.38,228828,216995
13.4,228871,216882
13.42,228863,216946
13.44,229004,216908
13.46,229023,216972
13.48,229031,217000
13.5,229191,216983
13.52,229171,217138
13.54,229253,216971
13.56,229233,217047
13.58,229334,217191
13.6,229328,217026
13.62,229448,217126
13.64,229500,217159
13.66,229562,217091
13.68,229627,217191
13.7,229709,217198
13.72,229722,217183
13.74,229802,217263
13.76,229868,217330
13.78,229941,217233
13.8,229967,217317
13.82,230030,217406
13.84,230125,217296
13.86,230127,217381
13.88,230227,217461
13.9,230303,217342
13.92,230359,217447
13.94,230405,217599
13.96,230375,217425
13.98,230368,217437
14,230016,217539
14.02,229801,217304
14.04,229501,217216
14.06,229346,217288
14.08,229205,217061
14.1,229146,217041
14.12,228851,217140
14.14,228744,217010
14.16,228742,216914
14.18,228499,217054
14.2,228474,216899
14.22,228493,216932
14.24,228557,216910
14.26,228551,216955
14.28,228563,216932
14.3,228559,216967
14.32,228553,216937
14.34,228580,216970
14.36,228538,216934
14.38,228625,216977
14.4,228685,216871
14.42,228680,217002
14.44,228673,217034
14.46,228880,216981
14.48,228810,217163
14.5,228870,216992
14.52,228870,217113
14.54,228970,217021
14.56,228988,217088
14.58,229080,217182
14.6,229100,217094
14.62,229163,217208
14.64,229185,217213
14.66,229297,217238
14.68,229349,217328
14.7,229299,217239
14.72,229428,217266
14.74,229482,217334
14.76,229514,217336
14.78,229615,217311
14.8,229700,217407
14.82,229657,217401
14.84,229790,217408
14.86,229859,217487
14.88,229932,217472
14.9,229918,217451
14.92,230035,217537
14.94,230104,217541
14.96,230146,217502
14.98,230208,217594
15,230293,217623
15.02,230318,217588
15.04,230338,217663
